airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime
VERY_POOR,2022-01-01 00:16:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,375.0,0.0,0.0,256.04,301.31,381.69,3.28,81.0,21.11,0.95,68.34,3.56,76.84,0.94
VERY_POOR,2022-01-01 00:16:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,341.0,0.0,9.69,216.64,563.21,316.67,1.92,46.58,18.95,1.47,74.51,1.85,80.72,0.94
VERY_POOR,2022-01-01 00:16:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,304.0,0.0,23.98,262.8,219.31,389.18,3.25,29.25,20.42,4.85,77.48,4.03,83.23,0.94
MODERATE,2022-01-01 00:16:11+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,116.0,0.0,22.12,35.91,125.44,57.31,2.95,44.01,19.13,11.37,60.17,0.83,83.88,0.84
VERY_POOR,2022-01-01 00:16:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,366.0,0.0,0.12,210.39,0.0,295.53,2.82,55.98,20.28,1.88,77.92,0.03,78.31,0.94
VERY_POOR,2022-01-01 00:16:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,310.0,0.0,0.0,150.31,443.3,223.94,2.48,35.55,24.09,50.5,65.95,2.0,63.56,0.89
VERY_POOR,2022-01-01 00:16:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,311.0,0.0,32.96,176.99,0.0,279.02,3.11,51.2,21.72,1.2,71.35,0.0,71.2,0.94
SATISFACTORY,2022-01-01 00:16:11+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,86.0,0.0,2.33,25.86,380.94,32.49,1.23,60.75,18.79,25.09,73.4,0.0,76.66,0.94
MODERATE,2022-01-01 00:16:11+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,139.0,0.0,30.99,54.7,0.0,76.19,4.17,61.27,19.52,5.2,79.96,1.61,78.91,0.46
VERY_POOR,2022-01-01 00:16:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,350.0,0.0,11.21,171.6,0.0,244.56,4.31,45.45,20.99,3.5,81.89,6.38,82.59,0.94
VERY_POOR,2022-01-01 00:16:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,324.0,0.0,0.0,149.72,54.82,219.6,3.59,53.04,21.25,9.45,56.82,6.49,78.21,0.94
VERY_POOR,2022-01-01 00:16:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,331.0,0.0,0.13,150.5,419.8,223.22,2.18,70.67,21.46,8.8,80.1,0.01,73.7,0.94
POOR,2022-01-01 00:16:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,220.0,0.0,15.62,95.16,0.0,134.2,1.38,43.63,21.27,3.27,72.97,4.08,77.43,0.94
VERY_POOR,2022-01-01 00:16:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,311.0,0.0,4.41,297.57,501.32,460.22,3.78,91.28,20.72,0.42,79.66,2.33,81.03,0.92
VERY_POOR,2022-01-01 00:16:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,319.0,0.0,9.27,146.95,102.08,210.0,3.7,43.59,21.32,3.86,75.11,2.38,75.5,0.94
MODERATE,2022-01-01 00:16:13+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,112.0,0.0,0.0,37.28,490.77,55.02,1.79,62.42,20.87,1.29,102.01,3.79,73.33,0.94
SATISFACTORY,2022-01-01 00:16:13+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,83.0,0.0,11.54,28.51,789.14,41.34,2.29,55.1,19.06,2.18,74.39,0.11,87.57,0.94
